Jaar;Kwartaal;Bbp
2017;Vierde kwartaal;0,6
2018;Eerste kwartaal;0,7
2018;Tweede kwartaal;0,5
2018;Derde kwartaal;0,3
2018;Vierde kwartaal;0,3
2019;Eerste kwartaal;1,2
2019;Tweede kwartaal;0,4
2019;Derde kwartaal;0,5
2019;Vierde kwartaal;0,1
2020;Eerste kwartaal;-1,1
2020;Tweede kwartaal;-8,3
2020;Derde kwartaal;6,6
2020;Vierde kwartaal;0,4
2021;Eerste kwartaal;0,9
2021;Tweede kwartaal;3,9
2021;Derde kwartaal;1,9
2021;Vierde kwartaal;0,2
2022*;Eerste kwartaal*;1,0
2022*;Tweede kwartaal*;2,7
2022*;Derde kwartaal*;0,0
2022*;Vierde kwartaal*;-0,1
2023*;Eerste kwartaal*;-0,2
2023*;Tweede kwartaal*;-0,2
2023*;Derde kwartaal*;-0,4
2023*;Vierde kwartaal*;0,2
2024*;Eerste kwartaal*;-0,3
2024*;Tweede kwartaal*;1,1
2024*;Derde kwartaal*;0,8
