"Arbeidsdeelname; kerncijfers seizoengecorrigeerd"
"Seizoen- en werkdagcorrectie: Seizoengecorrigeerde cijfers"
"";"Onderwerp"
"";"Beroepsbevolking|werkloze beroepsbevolking|Werkloze beroepsbevolking";"Beroepsbevolking|werkloze beroepsbevolking|Kortdurig";"Beroepsbevolking|werkloze beroepsbevolking|Langdurig of onbekend";"Beroepsbevolking|Werkloosheidspercentage"
"Perioden";"x 1 000";"x 1 000";"x 1 000";"%"
"2013 1e kwartaal";"709";"477";"232";"7,7"
"2013 2e kwartaal";"749";"491";"258";"8,2"
"2013 3e kwartaal";"782";"503";"279";"8,5"
"2013 4e kwartaal";"778";"497";"280";"8,5"
"2013";".";".";".";"."
"2014 1e kwartaal";"793";"500";"293";"8,7"
"2014 2e kwartaal";"773";"482";"291";"8,5"
"2014 3e kwartaal";"739";"448";"291";"8,1"
"2014 4e kwartaal";"744";"438";"306";"8,1"
"2014";".";".";".";"."
"2015 1e kwartaal";"751";"430";"321";"8,2"
"2015 2e kwartaal";"733";"423";"310";"8,0"
"2015 3e kwartaal";"709";"420";"289";"7,7"
"2015 4e kwartaal";"707";"424";"283";"7,7"
"2015";".";".";".";"."
"2016 1e kwartaal";"683";"411";"272";"7,4"
"2016 2e kwartaal";"668";"402";"266";"7,2"
"2016 3e kwartaal";"631";"387";"244";"6,8"
"2016 4e kwartaal";"602";"366";"236";"6,5"
"2016";".";".";".";"."
"2017 1e kwartaal";"580";"361";"220";"6,3"
"2017 2e kwartaal";"561";"356";"205";"6,0"
"2017 3e kwartaal";"536";"344";"192";"5,8"
"2017 4e kwartaal";"506";"329";"177";"5,4"
"2017";".";".";".";"."
"2018 1e kwartaal";"475";"316";"160";"5,1"
"2018 2e kwartaal";"462";"309";"153";"4,9"
"2018 3e kwartaal";"457";"311";"146";"4,9"
"2018 4e kwartaal";"438";"307";"131";"4,6"
"2018";".";".";".";"."
"2019 1e kwartaal";"424";"299";"125";"4,5"
"2019 2e kwartaal";"414";"310";"104";"4,4"
"2019 3e kwartaal";"429";"321";"109";"4,5"
"2019 4e kwartaal";"425";"320";"105";"4,4"
"2019";".";".";".";"."
"2020 1e kwartaal";"387";"294";"93";"4,0"
"2020 2e kwartaal";"460";"382";"77";"4,8"
"2020 3e kwartaal";"528";"428";"100";"5,5"
"2020 4e kwartaal";"490";"386";"104";"5,1"
"2020";".";".";".";"."
"2021 1e kwartaal";"445";"346";"99";"4,6"
"2021 2e kwartaal";"416";"321";"96";"4,3"
"2021 3e kwartaal";"399";"309";"90";"4,1"
"2021 4e kwartaal";"370";"279";"91";"3,8"
"2021";".";".";".";"."
"2022 1e kwartaal";"338";"255";"83";"3,5"
"2022 2e kwartaal";"327";"250";"77";"3,3"
"2022 3e kwartaal";"372";"299";"73";"3,7"
"2022 4e kwartaal";"359";"292";"67";"3,6"
"2022";".";".";".";"."
"2023 1e kwartaal";"357";"291";"66";"3,6"
"2023 2e kwartaal";"350";"295";"55";"3,5"
"2023 3e kwartaal";"366";"306";"60";"3,6"
"2023 4e kwartaal";"360";"299";"61";"3,5"
"2023";".";".";".";"."
"2024 1e kwartaal";"373";"311";"62";"3,7"
"2024 2e kwartaal";"370";"309";"61";"3,6"
"2024 3e kwartaal";"374";"306";"68";"3,7"
"2024 4e kwartaal";"374";"314";"60";"3,7"
"2024";".";".";".";"."
"Bron: CBS"
