Date,Total,MeanAge,MedianAge,StdAge,Year,Month,Day,Hour,Minute
1988,14520378.0,36.16993758702425,34.0,21.53561410827234,1988,1,1,0,0
1989,14610096.0,36.36133260178441,34.0,21.544818174496083,1989,1,1,0,0
1990,14695840.0,36.53504086870842,34.0,21.551659120460503,1990,1,1,0,0
1991,14803458.0,36.703575070095106,35.0,21.558294405119835,1991,1,1,0,0
1992,14921425.0,36.84694799591862,35.0,21.57649465631125,1992,1,1,0,0
1993,15032818.0,37.00130181846145,35.0,21.604012582736562,1993,1,1,0,0
1994,15136157.0,37.13950654713743,35.0,21.61876182910714,1994,1,1,0,0
1995,15217527.0,37.31254874724389,36.0,21.65362317671647,1995,1,1,0,0
1996,15292357.0,37.480583405161155,36.0,21.687747568310947,1996,1,1,0,0
1997,15365485.0,37.647134210212045,36.0,21.714968267668624,1997,1,1,0,0
1998,15450129.0,37.81851206549796,37.0,21.743306534162876,1998,1,1,0,0
1999,15548382.0,37.97498086939207,37.0,21.775167912460002,1999,1,1,0,0
2000,15649812.0,38.11438552744276,37.0,21.81772598144188,2000,1,1,0,0
2001,15767178.0,38.2432649013032,37.0,21.861704761260356,2001,1,1,0,0
2002,15888070.0,38.36399688571362,38.0,21.915074613205405,2002,1,1,0,0
2003,15976716.0,38.50577734498128,38.0,21.968193054392835,2003,1,1,0,0
2004,16043552.0,38.67674284348005,38.0,22.026979622399303,2004,1,1,0,0
2005,16097408.0,38.87711388069433,39.0,22.098758529479138,2005,1,1,0,0
2006,16132204.0,39.10186952756114,39.0,22.166544251418674,2006,1,1,0,0
2007,16158349.0,39.34590953568338,39.0,22.23305187340337,2007,1,1,0,0
2008,16208533.0,39.58091154825671,40.0,22.298185374586094,2008,1,1,0,0
2009,16284537.0,39.797719087745634,40.0,22.351765775241347,2009,1,1,0,0
2010,16372437.0,40.00407062186283,40.0,22.4176787329631,2010,1,1,0,0
2011,16453320.0,40.21102476582234,41.0,22.49121981914256,2011,1,1,0,0
2012,16531442.0,40.42332145011911,41.0,22.568474585343125,2012,1,1,0,0
2013,16584267.0,40.64952349114977,41.0,22.639330224623148,2013,1,1,0,0
2014,16638418.0,40.881163942389236,42.0,22.708294441955776,2014,1,1,0,0
2015,16705260.0,41.11234437536441,42.0,22.77391758293119,2015,1,1,0,0
2016,16786245.0,41.29316145451231,42.0,22.834740276741,2016,1,1,0,0
2017,16885343.0,41.465910227586136,42.0,22.889199851233062,2017,1,1,0,0
2018,16986756.0,41.635621186293605,42.0,22.948367584381135,2018,1,1,0,0
2019,17088045.0,41.81107007852566,43.0,22.996841549865245,2019,1,1,0,0
2020,17211375.0,41.98103190477228,43.0,23.044858472191734,2020,1,1,0,0
2021,17280464.0,42.157574414668495,43.0,23.086294900013772,2021,1,1,0,0
2022,17384730.0,42.28774648786607,43.0,23.12816918681871,2022,1,1,0,0
2023,17617345.0,42.31844980046653,42.0,23.17426953099472,2023,1,1,0,0
2024,17751853.0,42.444453545215815,42.0,23.211003496111942,2024,1,1,0,0
,0.0,,,,,,,,
